zips	lat	long	city	stateshort	state	county
32710	28.566338	-81.260818	Clarcona	FL	Florida	Orange
32713	28.889107	-81.319985	Debary	FL	Florida	Volusia
32720	29.071980	-81.403355	Deland	FL	Florida	Volusia
32722	29.022729	-81.172169	Glenwood	FL	Florida	Volusia
32725	28.900274	-81.245074	Deltona	FL	Florida	Volusia
32726	28.710129	-81.683696	Eustis	FL	Florida	Lake
32732	28.751078	-81.107884	Geneva	FL	Florida	Seminole
32733	28.613308	-81.258108	Goldenrod	FL	Florida	Seminole
32744	28.988027	-81.220829	Lake Helen	FL	Florida	Volusia
32746	28.757700	-81.350772	Lake Mary	FL	Florida	Seminole
32750	28.705924	-81.340639	Longwood	FL	Florida	Seminole
32751	28.625476	-81.364590	Maitland	FL	Florida	Orange
32756	28.811078	-81.653642	Mount Dora	FL	Florida	Lake
32762	28.744752	-81.223280	Oviedo	FL	Florida	Seminole
32763	28.939904	-81.301856	Orange City	FL	Florida	Volusia
32768	28.698542	-81.569764	Plymouth	FL	Florida	Orange
32771	28.793491	-81.299169	Sanford	FL	Florida	Seminole
32776	28.831447	-81.505121	Sorrento	FL	Florida	Lake
32778	28.767762	-81.725272	Tavares	FL	Florida	Lake
32780	28.548877	-80.853421	Titusville	FL	Florida	Brevard
32789	28.602327	-81.358740	Winter Park	FL	Florida	Orange
32798	28.717472	-81.583045	Zellwood	FL	Florida	Orange
32801	28.545179	-81.373291	Orlando	FL	Florida	Orange
32901	28.012189	-80.585519	Melbourne	FL	Florida	Brevard
32903	28.107943	-80.579625	Indialantic	FL	Florida	Brevard
32905	27.968610	-80.611642	Palm Bay	FL	Florida	Brevard
32920	28.394642	-80.614323	Cape Canaveral	FL	Florida	Brevard
32922	28.315086	-80.723445	Cocoa	FL	Florida	Brevard
32925	28.174349	-80.583979	Patrick Afb	FL	Florida	Brevard
32931	28.325685	-80.623424	Cocoa Beach	FL	Florida	Brevard
32937	28.167091	-80.615835	Satellite Beach	FL	Florida	Brevard
32949	27.936416	-80.555597	Grant	FL	Florida	Brevard
32950	28.072093	-80.596021	Malabar	FL	Florida	Brevard
32952	28.276389	-80.656825	Merritt Island	FL	Florida	Brevard
32955	28.287140	-80.723065	Rockledge	FL	Florida	Brevard
32958	27.799123	-80.483098	Sebastian	FL	Florida	Indian River
32960	27.638005	-80.402940	Vero Beach	FL	Florida	Indian River
32970	27.752905	-80.474297	Wabasso	FL	Florida	Indian River
33002	25.558428	-80.458168	Hialeah	FL	Florida	Miami-Dade
33004	26.062416	-80.159667	Dania	FL	Florida	Broward
33008	26.145724	-80.448254	Hallandale	FL	Florida	Broward
33019	26.091514	-80.192966	Hollywood	FL	Florida	Broward
33028	26.004868	-80.313445	Hollywood	FL	Florida	Broward
33030	25.558428	-80.458168	Homestead	FL	Florida	Miami-Dade
33036	24.901690	-80.682667	Islamorada	FL	Florida	Monroe
33037	24.963509	-80.961294	Key Largo	FL	Florida	Monroe
33040	24.655692	-81.382372	Key West	FL	Florida	Monroe
33042	24.860066	-81.003803	Summerland Key	FL	Florida	Monroe
33043	24.687493	-81.249423	Big Pine Key	FL	Florida	Monroe
33044	24.664649	-81.565319	Sugarloaf Shores	FL	Florida	Monroe
33050	24.687724	-81.294685	Marathon	FL	Florida	Monroe
33054	25.924821	-80.324273	Opa Locka	FL	Florida	Miami-Dade
33060	26.240059	-80.139816	Pompano Beach	FL	Florida	Broward
33070	24.925108	-80.713465	Tavernier	FL	Florida	Monroe
33101	25.779076	-80.197820	Miami	FL	Florida	Miami-Dade
33109	25.558428	-80.458168	Miami Beach	FL	Florida	Miami-Dade
33149	25.709978	-80.173295	Key Biscayne	FL	Florida	Miami-Dade
33160	25.944859	-80.139067	North Miami Beach	FL	Florida	Miami-Dade
33326	26.202757	-80.281527	Fort Lauderdale	FL	Florida	Broward
33401	26.672643	-80.070613	West Palm Beach	FL	Florida	Palm Beach
33408	26.645895	-80.430269	North Palm Beach	FL	Florida	Palm Beach
33424	26.645895	-80.430269	Boynton Beach	FL	Florida	Palm Beach
33427	26.375954	-80.107170	Boca Raton	FL	Florida	Palm Beach
33430	26.645895	-80.430269	Belle Glade	FL	Florida	Palm Beach
33440	26.630066	-81.090897	Clewiston	FL	Florida	Hendry
33441	26.273761	-80.140769	Deerfield Beach	FL	Florida	Broward
33444	26.457598	-80.081614	Delray Beach	FL	Florida	Palm Beach
33454	26.645895	-80.430269	Lake Worth	FL	Florida	Palm Beach
33455	27.050934	-80.158594	Hobe Sound	FL	Florida	Martin
33458	26.645895	-80.430269	Jupiter	FL	Florida	Palm Beach
33470	26.649816	-80.294771	Loxahatchee	FL	Florida	Palm Beach
33476	26.623067	-80.178640	Pahokee	FL	Florida	Palm Beach
33480	26.600995	-80.038113	Palm Beach	FL	Florida	Palm Beach
33493	26.645895	-80.430269	South Bay	FL	Florida	Palm Beach
33509	28.119579	-82.451959	Brandon	FL	Florida	Hillsborough
33513	28.676288	-82.149168	Bushnell	FL	Florida	Sumter
33523	28.368860	-82.322756	Dade City	FL	Florida	Pasco
33524	28.182209	-82.152341	Crystal Springs	FL	Florida	Pasco
33527	27.975742	-82.240415	Dover	FL	Florida	Hillsborough
33534	27.911823	-82.385728	Gibsonton	FL	Florida	Hillsborough
33539	28.213050	-82.165680	Zephyrhills	FL	Florida	Pasco
33548	27.871964	-82.438841	Lutz	FL	Florida	Hillsborough
33556	28.128688	-82.584113	Odessa	FL	Florida	Hillsborough
33564	28.029627	-82.134741	Plant City	FL	Florida	Hillsborough
33568	27.871964	-82.438841	Riverview	FL	Florida	Hillsborough
33576	28.331729	-82.300982	San Antonio	FL	Florida	Pasco
